stop_id,stop_skip_rate,stop_count
9022001007031002,0.0007163323782234957,1396
9022001007035001,0.0,1395
9022001007035002,0.001448225923244026,1381
9022001007051001,0.0,1413
9022001007051002,0.0007320644216691069,1366
9022001007071001,0.0,1257
9022001007071002,0.0,260
9022001007071003,0.004796163069544364,1251
9022001007111001,0.0,3549
9022001007111002,0.0002822466836014677,3543
9022001007131001,0.0,3549
9022001007131002,0.0002829654782116582,3534
9022001007141001,0.0,3510
9022001007141002,0.0002813731007315701,3554
9022001007171001,0.0,2694
9022001007171002,0.00035971223021582735,2780
9022001007181001,0.0,2742
9022001007181002,0.00036429872495446266,2745
9022001007191001,0.0,1133
9022001007191002,0.0,1604
9022001007191003,0.0,1353
9022001007191004,0.000724112961622013,1381
9022001007221001,0.0,1601
9022001007241001,0.0,1638
9022001007251001,0.0,1600
9022001007301001,0.0,1337
9022001007301002,0.0,1359
9022001007311001,0.0,1338
9022001007311002,0.0,1363
9022001007321001,0.0,1342
9022001007321002,0.0,1359
9022001007331001,0.0,1351
9022001007331002,0.0,1391
9022001007341001,0.0,1349
9022001007341002,0.0,1358
9022001007361001,0.0,1369
9022001007361002,0.0,1388
9022001007371001,0.0,1084
9022001007371002,0.0,1631
9022001007381001,0.0,1643
9022001007401002,0.008962868117797696,781
9022001007498002,0.0,1660
9022001007501001,0.0,1717
9022001007501002,0.0,28
9022001007511001,0.0011547344110854503,1732
9022001007521001,0.0011574074074074073,1728
9022001007521002,0.0,12
9022001007531001,0.0,1117
9022001007531002,0.0,557
9022001007531003,0.0,1900
9022001007541001,0.0,900
9022001007541002,0.0,880
9022001007551001,0.001152073732718894,1736
9022001007561001,0.0,872
9022001007561002,0.0011402508551881414,877
9022001007571001,0.0022988505747126436,870
9022001007571002,0.0,866
9022001007581001,0.0005737234652897303,1743
9022001007591001,0.0007022471910112359,1424
9022001007591002,0.0,331
9022001007611002,0.0006493506493506494,3080
9022001007611003,0.0033875338753387536,1476
9022001007641001,0.0005405405405405405,1850
9022001007651001,0.0005379236148466917,1859
9022001007661001,0.0005373455131649651,1861
9022001007661002,0.0,4
9022001007671001,0.0,1859
9022001008000001,0.0,2250
9022001008001001,0.0,1739
9022001008002001,0.0,1755
9022001008003001,0.0,2256
9022001008005001,0.0,1219
9022001008006001,0.0,1731
9022001008007001,0.0,1198
9022001008008001,0.0,1727
9022001008009001,0.0,1745
9022001008009002,0.0,1545
9022001008011001,0.0,317
9022001008015001,0.0,312
9022001008017001,0.0,291
9022001008018001,0.0,296
9022001008019001,0.0,304
9022001008034001,0.0,173
9022001008040001,0.0,17
9022001008040002,0.0,153
9022001008041001,0.0,1609
9022001008052001,0.0,174
9022001008054001,0.0,167
9022001008054002,0.0,3191
9022001008056001,0.0,172
9022001008057001,0.0,1288
9022001008058001,0.0,174
9022001008059001,0.0,414
9022001008068001,0.0,411
9022001008069001,0.0,408
9022001008070001,0.0,102
9022001008071001,0.0,300
9022001008072001,0.0,101
9022001008073001,0.0,107
9022001008074001,0.0,209
9022001010001001,0.004347826086956522,460
9022001010001002,0.0,498
9022001010002001,0.0020387359836901123,981
9022001010002002,0.00101010101010101,990
9022001010006001,0.0,503
9022001010006002,0.004158004158004158,481
9022001010008001,0.0005574136008918618,1794
9022001010008002,0.012168141592920354,1808
9022001010008003,0.0021413276231263384,467
9022001010008004,0.0,507
9022001010010001,0.005095541401273885,785
9022001010012001,0.01032204789430223,2422
9022001010012002,0.007296311309282529,2467
9022001010014001,0.0097196261682243,2675
9022001010014002,0.010045203415369162,1991
9022001010016001,0.011198208286674132,1786
9022001010019001,0.01063264221158958,1881
9022001010019003,0.01063410791650256,2539
9022001010019004,0.0,778
9022001010022001,0.0,903
9022001010022002,0.004449388209121246,899
9022001010024001,0.009935419771485345,2013
9022001010024002,0.010994502748625687,2001
9022001010028001,0.005287009063444109,2648
9022001010028003,0.004169825625473844,2638
9022001010031001,0.011197663096397274,2054
9022001010031002,0.010005002501250625,1999
9022001010031004,0.01867572156196944,1767
9022001010031005,0.02116991643454039,1795
9022001010032002,0.0016778523489932886,1788
9022001010032003,0.0,842
9022001010032004,0.0,1125
9022001010032005,0.005893909626719057,1527
9022001010032006,0.0,1063
9022001010032007,0.0,1037
9022001010032008,0.0,893
9022001010032009,0.0,333
9022001010032010,0.005589714924538848,1789
9022001010032014,0.0,4530
9022001010033001,0.012954658694569009,2007
9022001010034001,0.008542713567839196,1990
